locus_tag	GO_ID	type
BSU29690	GO:0045150	process
BSU29690	GO:0009847	process
BSU29690	GO:0045150	process
BSU29690	GO:0045150	process
BSU29690	GO:0045150	process
BSU29690	GO:0034078	process
BSU29690	GO:0045150	process
BSU29690	GO:0071311	process
BSU29700	GO:0045150	process
BSU29700	GO:0030435	process
BSU29710	GO:0045149	process
BSU29710	GO:0045150	process
BSU29710	GO:0045150	process
BSU29710	GO:0045149	process
BSU29710	GO:0045149	process
BSU29710	GO:0040029	process
BSU29710	GO:0040029	process
BSU29710	GO:0030435	process
BSU29710	GO:0040029	process
BSU29710	GO:0045150	process
BSU01810	GO:0006974	process
BSU01810	GO:0006974	process
BSU01810	GO:0006281	process
BSU01810	GO:0032259	process
BSU01810	GO:0006355	process
BSU01810	GO:0006355	process
BSU01810	GO:0006351	process
BSU01810	GO:0006281	process
BSU01810	GO:0006355	process
BSU01810	GO:0006355	process
BSU01810	GO:0032259	process
BSU01810	GO:0006974	process
BSU01810	GO:0006351	process
BSU01810	GO:0032259	process
BSU01810	GO:0006355	process
BSU01810	GO:0032259	process
BSU01810	GO:0006351	process
BSU01810	GO:0006281	process
BSU01810	GO:0006281	process
BSU01810	GO:0006351	process
BSU01810	GO:0006974	process
BSU01820	GO:0032259	process
BSU01820	GO:0032259	process
BSU01820	GO:0006281	process
BSU01820	GO:0006974	process
BSU01820	GO:0006281	process
BSU01820	GO:0006974	process
BSU10630	GO:0006974	process
BSU10630	GO:0000724	process
BSU10630	GO:0006281	process
BSU10630	GO:0000725	process
BSU10630	GO:0006302	process
BSU10630	GO:0000724	process
BSU10630	GO:0000725	process
BSU10630	GO:0006974	process
BSU10630	GO:0000725	process
BSU10630	GO:0006302	process
BSU10630	GO:0000725	process
BSU10630	GO:0006302	process
BSU10630	GO:0006974	process
BSU10630	GO:0006974	process
BSU10630	GO:0006281	process
BSU10630	GO:0000725	process
BSU10630	GO:0006302	process
BSU10630	GO:0000725	process
BSU10630	GO:0006281	process
BSU10630	GO:0006302	process
BSU10630	GO:0006281	process
BSU10630	GO:0000724	process
BSU10630	GO:0000724	process
BSU10630	GO:0006281	process
BSU10630	GO:0006281	process
BSU10630	GO:0006302	process
BSU10630	GO:0000724	process
BSU10630	GO:0006974	process
BSU10630	GO:0000724	process
BSU10630	GO:0000724	process
BSU10630	GO:0006281	process
BSU10630	GO:0006974	process
BSU10630	GO:0000725	process
BSU10630	GO:0006974	process
BSU10630	GO:0006302	process
BSU10620	GO:0000724	process
BSU10620	GO:0006281	process
BSU10620	GO:0006310	process
BSU10620	GO:0000724	process
BSU10620	GO:0000724	process
BSU10620	GO:0006974	process
BSU10620	GO:0006310	process
BSU10620	GO:0006974	process
BSU10620	GO:0006281	process
BSU10620	GO:0006281	process
BSU10620	GO:0000724	process
BSU10620	GO:0006974	process
BSU10620	GO:0006310	process
BSU10620	GO:0006310	process
BSU10620	GO:0006310	process
BSU10620	GO:0006974	process
BSU10620	GO:0000724	process
BSU10620	GO:0000724	process
BSU10620	GO:0006974	process
BSU10620	GO:0006281	process
BSU10620	GO:0006281	process
BSU10620	GO:0000724	process
BSU10620	GO:0000724	process
BSU10620	GO:0006310	process
BSU10620	GO:0006281	process
BSU10620	GO:0006974	process
BSU10620	GO:0006974	process
BSU10620	GO:0006281	process
BSU10620	GO:0006281	process
BSU10620	GO:0000724	process
BSU10620	GO:0006310	process
BSU10620	GO:0006974	process
BSU10620	GO:0006281	process
BSU10620	GO:0006310	process
BSU10620	GO:0006974	process
BSU14520	GO:0006146	process
BSU01370	GO:0009165	process
BSU01370	GO:0009165	process
BSU01370	GO:0009165	process
BSU01370	GO:0046940	process
BSU01370	GO:0009165	process
BSU01370	GO:0006139	process
BSU01370	GO:0046940	process
BSU01370	GO:0044209	process
BSU01370	GO:0006139	process
BSU01370	GO:0046940	process
BSU01370	GO:0044209	process
BSU01370	GO:0046940	process
BSU01370	GO:0006139	process
BSU01370	GO:0044209	process
BSU01370	GO:0009132	process
BSU01370	GO:0006139	process
BSU01370	GO:0009165	process
BSU01370	GO:0009165	process
BSU01370	GO:0009123	process
BSU01370	GO:0046940	process
BSU01370	GO:0044209	process
BSU01370	GO:0006139	process
BSU01370	GO:0046940	process
BSU01370	GO:0044209	process
BSU01370	GO:0044209	process
BSU01370	GO:0006139	process
BSU40090	GO:0006979	process
BSU40090	GO:0098869	process
BSU40090	GO:0033554	process
BSU40090	GO:0006979	process
BSU40090	GO:0006979	process
BSU40090	GO:0098869	process
BSU40090	GO:0006979	process
BSU40090	GO:0006979	process
BSU40090	GO:0042744	process
BSU40090	GO:0098869	process
BSU40090	GO:0042744	process
BSU40090	GO:0045454	process
BSU40090	GO:0098869	process
BSU40090	GO:0098869	process
BSU40090	GO:0033554	process
BSU40090	GO:0042744	process
BSU40090	GO:0045454	process
BSU40090	GO:0098869	process
BSU40090	GO:0045454	process
BSU40100	GO:0000302	process
BSU40100	GO:0045454	process
BSU40100	GO:0000302	process
BSU40100	GO:0000302	process
BSU40100	GO:0098869	process
BSU40100	GO:0098869	process
BSU40100	GO:1902600	process
BSU40100	GO:1902600	process
BSU40100	GO:0000302	process
BSU40100	GO:0098869	process
BSU40100	GO:0098869	process
BSU40100	GO:0000302	process
BSU40100	GO:1902600	process
BSU40100	GO:0098869	process
BSU40100	GO:1902600	process
BSU40100	GO:1902600	process
BSU40100	GO:0000302	process
BSU40100	GO:1902600	process
BSU40100	GO:0098869	process
BSU27410	GO:0043039	process
BSU27410	GO:0006412	process
BSU27410	GO:0043039	process
BSU27410	GO:0106074	process
BSU27410	GO:0043039	process
BSU27410	GO:0006419	process
BSU27410	GO:0106074	process
BSU27410	GO:0106074	process
BSU27410	GO:0106074	process
BSU27410	GO:0006419	process
BSU27410	GO:0006412	process
BSU27410	GO:0106074	process
BSU27410	GO:0043039	process
BSU27410	GO:0006419	process
BSU27410	GO:0006419	process
BSU27410	GO:0006412	process
BSU27410	GO:0006412	process
BSU27410	GO:0043039	process
BSU27410	GO:0006412	process
BSU27410	GO:0043039	process
BSU27410	GO:0106074	process
BSU27410	GO:0006419	process
BSU27410	GO:0006419	process
BSU27410	GO:0006419	process
BSU27410	GO:0006412	process
BSU27410	GO:0006412	process
BSU27410	GO:0006412	process
BSU27410	GO:0043039	process
BSU27410	GO:0043039	process
BSU27410	GO:0006419	process
BSU27410	GO:0106074	process
BSU27410	GO:0043039	process
BSU27410	GO:0006419	process
BSU27410	GO:0006412	process
BSU27410	GO:0006419	process
BSU27410	GO:0106074	process
BSU37370	GO:0030152	process
BSU37370	GO:0017000	process
BSU37380	GO:0017000	process
BSU37380	GO:0030152	process
BSU37380	GO:0030153	process
BSU37390	GO:0030153	process
BSU37390	GO:0043213	process
BSU37390	GO:0015031	process
BSU37400	GO:0030153	process
BSU37400	GO:0017000	process
BSU37400	GO:0017000	process
BSU37400	GO:0030152	process
BSU37400	GO:0030153	process
BSU37400	GO:0030152	process
BSU37410	GO:0017000	process
BSU37410	GO:0017000	process
BSU37410	GO:0030152	process
BSU37410	GO:0030152	process
BSU37420	GO:0006508	process
BSU37420	GO:0030152	process
BSU37420	GO:0017000	process
BSU37420	GO:0017000	process
BSU37420	GO:0030152	process
BSU37420	GO:0006508	process
BSU37430	GO:0017000	process
BSU37430	GO:0030152	process
BSU37430	GO:0030152	process
BSU37430	GO:0017000	process
BSU31930	GO:0042853	process
BSU31930	GO:0030435	process
BSU31930	GO:0006524	process
BSU31930	GO:0006524	process
BSU31930	GO:0006524	process
BSU31930	GO:0042853	process
BSU31930	GO:0042853	process
BSU31930	GO:0042853	process
BSU31930	GO:0006524	process
BSU31930	GO:0030435	process
BSU31930	GO:0006524	process
BSU31930	GO:0042853	process
BSU31930	GO:0006524	process
BSU31930	GO:0042853	process
BSU39860	GO:0006081	process
BSU39860	GO:0006081	process
BSU39860	GO:0006081	process
BSU01800	GO:0006281	process
BSU01800	GO:0006284	process
BSU01800	GO:0006289	process
BSU01800	GO:0006281	process
BSU01800	GO:0006281	process
BSU01800	GO:0006289	process
BSU01800	GO:0006285	process
BSU01800	GO:0006284	process
BSU01800	GO:0006289	process
BSU01800	GO:0006307	process
BSU01800	GO:0006281	process
BSU01800	GO:0006974	process
BSU01800	GO:0006285	process
BSU01800	GO:0006289	process
BSU01800	GO:0006974	process
BSU01800	GO:0006284	process
BSU01800	GO:0006307	process
BSU01800	GO:0006285	process
BSU01800	GO:0006974	process
BSU01800	GO:0006307	process
BSU01800	GO:0006284	process
BSU01800	GO:0006974	process
BSU36000	GO:0045151	process
BSU36000	GO:0045151	process
BSU36020	GO:0006355	process
BSU36020	GO:0006351	process
BSU36020	GO:0006355	process
BSU36020	GO:0045151	process
BSU36020	GO:0006355	process
BSU36020	GO:0006355	process
BSU36020	GO:0006351	process
BSU36020	GO:0006355	process
BSU36020	GO:0006351	process
BSU36020	GO:0006351	process
BSU36020	GO:0006355	process
BSU36020	GO:0006351	process
BSU36010	GO:0009097	process
BSU36010	GO:0009097	process
BSU36010	GO:0009099	process
BSU36010	GO:0034077	process
BSU36010	GO:0009099	process
BSU36010	GO:0009099	process
BSU36010	GO:0034077	process
BSU36010	GO:0034077	process
BSU36010	GO:0009099	process
BSU36010	GO:0009097	process
BSU36010	GO:0045151	process
BSU36010	GO:0034077	process
BSU36010	GO:0034077	process
BSU36010	GO:0009097	process
BSU36010	GO:0034077	process
BSU36010	GO:0009099	process
BSU36010	GO:0009097	process
BSU18120	GO:0055085	process
BSU18120	GO:0035725	process
BSU18120	GO:0003333	process
BSU18120	GO:0006865	process
BSU18120	GO:0003333	process
BSU18120	GO:0055085	process
BSU18120	GO:0006814	process
BSU18120	GO:0006811	process
BSU18120	GO:0006814	process
BSU18120	GO:0006865	process
BSU18120	GO:0035725	process
BSU01670	GO:0009254	process
BSU01670	GO:0071555	process
BSU14450	GO:0006508	process
BSU14450	GO:0006508	process
BSU36510	GO:0072488	process
BSU36510	GO:0072488	process
BSU03040	GO:0005975	process
BSU03040	GO:0005975	process
BSU03040	GO:0005975	process
BSU03040	GO:0005975	process
BSU03040	GO:0005975	process
BSU03040	GO:0005975	process
BSU03040	GO:0005975	process
BSU29930	GO:0005975	process
BSU23580	GO:0006520	process
BSU23580	GO:0006520	process
BSU23580	GO:0006520	process
BSU23580	GO:0006520	process
BSU23580	GO:0006520	process
BSU23570	GO:0006099	process
BSU23570	GO:0006531	process
BSU23570	GO:0006531	process
BSU23590	GO:0006351	process
BSU02690	GO:0006520	process
BSU02690	GO:0006530	process
BSU02690	GO:0006528	process
BSU02690	GO:0006520	process
BSU02690	GO:0006520	process
BSU02690	GO:0006528	process
BSU02690	GO:0006520	process
BSU02690	GO:0006528	process
BSU02690	GO:0006520	process
BSU02690	GO:0006528	process
BSU02690	GO:0006528	process
BSU25220	GO:0030435	process
BSU11381	GO:0055085	process
BSU11382	GO:0055085	process
BSU11381	GO:0015833	process
BSU11382	GO:0015833	process
BSU11381	GO:0015031	process
BSU11382	GO:0015031	process
BSU11381	GO:0030420	process
BSU11382	GO:0030420	process
BSU11381	GO:0015833	process
BSU11382	GO:0015833	process
BSU11381	GO:0030435	process
BSU11382	GO:0030435	process
BSU11390	GO:0055085	process
BSU11390	GO:0055085	process
BSU11390	GO:0055085	process
BSU11390	GO:0015031	process
BSU11390	GO:0030435	process
BSU11390	GO:0055085	process
BSU11390	GO:0055085	process
BSU11390	GO:0015833	process
BSU11390	GO:0030420	process
BSU11400	GO:0015031	process
BSU11400	GO:0055085	process
BSU11400	GO:0055085	process
BSU11400	GO:0030435	process
BSU11400	GO:0055085	process
BSU11400	GO:0030420	process
BSU11400	GO:0055085	process
BSU11400	GO:0015833	process
BSU11360	GO:0055085	process
BSU11360	GO:0015833	process
BSU11360	GO:0015833	process
BSU11360	GO:0015031	process
BSU11360	GO:0015833	process
BSU11360	GO:0015833	process
BSU11360	GO:0015833	process
BSU11360	GO:0030420	process
BSU11360	GO:0030435	process
BSU11370	GO:0015031	process
BSU11370	GO:0030420	process
BSU11370	GO:0015833	process
BSU11370	GO:0015833	process
BSU11370	GO:0015833	process
BSU11370	GO:0055085	process
BSU11370	GO:0015833	process
BSU11370	GO:0055085	process
BSU11370	GO:0055085	process
BSU11370	GO:0015833	process
BSU11370	GO:0030435	process
BSU11370	GO:0015833	process
BSU11370	GO:0055085	process
BSU11370	GO:0055085	process
BSU11370	GO:0055085	process
BSU10300	GO:0140448	process
BSU10300	GO:0030435	process
BSU10300	GO:0030435	process
BSU10300	GO:0006508	process
BSU10300	GO:0030435	process
BSU10300	GO:0030435	process
BSU10300	GO:0006508	process
BSU10300	GO:0030435	process
BSU10300	GO:0006508	process
BSU10300	GO:0030435	process
BSU10300	GO:0006508	process
BSU10300	GO:0006508	process
BSU10300	GO:0030435	process
BSU10300	GO:0006508	process
BSU10300	GO:0030435	process
BSU10300	GO:0006508	process
BSU10300	GO:0006508	process
BSU10300	GO:0009372	process
BSU10300	GO:0030435	process
BSU10300	GO:0006508	process
BSU10300	GO:0006508	process
BSU10300	GO:0030435	process
BSU10300	GO:0006508	process
BSU10300	GO:0006508	process
BSU10300	GO:0030435	process
BSU10300	GO:0006508	process
BSU10300	GO:0006508	process
BSU10300	GO:0006508	process
BSU10300	GO:0030435	process
BSU10300	GO:0030435	process
BSU10300	GO:0030435	process
BSU17260	GO:0006508	process
BSU17260	GO:0006508	process
BSU17260	GO:0006508	process
BSU17260	GO:0006508	process
BSU17260	GO:0006508	process
BSU17260	GO:0006508	process
BSU27610	GO:0006166	process
BSU27610	GO:0044209	process
BSU27610	GO:0006168	process
BSU27610	GO:0044209	process
BSU27610	GO:0006168	process
BSU27610	GO:0044209	process
BSU27610	GO:0006166	process
BSU27610	GO:0006168	process
BSU27610	GO:0006166	process
BSU27610	GO:0006168	process
BSU27610	GO:0044209	process
BSU27610	GO:0006166	process
BSU27610	GO:0006168	process
BSU27610	GO:0006166	process
BSU27610	GO:0044209	process
BSU28800	GO:0019569	process
BSU28800	GO:0019569	process
BSU28800	GO:0019568	process
BSU28800	GO:0019569	process
BSU28800	GO:0019568	process
BSU28800	GO:0019569	process
BSU28800	GO:0005996	process
